term_localName,label,definition,usage,notes,examples,rdf_type,tdwgutility_organizedInClass,tdwgutility_usageScope
resourceCollected,Resource Collected,A list (concatenated and separated) of floral resources used or removed from the visited flower(s) during the interaction,,Recommended best practice is to separate the values in a list with space vertical bar space ( `|` ) and to use a controlled vocabulary,"`pollen`, `pollen | nectar | oil`, `ovules`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/Interaction,simple
visitedFlowersQuantity,Visited Flowers Quantity,The total number of flowers visited during the interaction,,,"`12`, `20`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/Interaction,simple
ReproductiveSuccess,Reproductive Success,A reproductive success measurement as a result or a effect of the interaction(s) on the subject or object of the interaction,The mass of a fruit exposed to multiple visitors was 100 grams,"An outcome is related to one or more interactions, but limited to the same subject or object of the related interactions (e.g. a dwc:Occurrence or a dwc:Taxon)",The mass of a fruit exposed to multiple visitors was 100 grams,http://www.w3.org/2000/01/rdf-schema#Class,http://rs.rebipp.org.br/ppi/terms/ReproductiveSuccess,simple
numberOfRemovedPollenGrains,Number Of Removed Pollen Grains,The total number of pollen grains removed from the anther(s) of the visited flower(s),"`156`, `350`",The pollen grains may have been removed by multiple floral visitors. The number should include pollen grains from all anthers of the flower(s),"`156`, `350`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/ReproductiveSuccess,simple
numberOfConspecificPollenGrains,Number Of Conspecific Pollen Grains,The total number of conspecific pollen grains deposited on the stigma(s) of the visited flower(s),"`356`, `500`",The pollen grains may have been deposited at the end of the flower(s) anthesis by multiple floral visitors ,"`356`, `500`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/ReproductiveSuccess,simple
numberOfHeterospecificPollenGrains,Number Of Heterospecific Pollen Grains,The total number of heterospecific pollen grains deposited on a the stigma(s) of the visited flower(s),"`356`, `500`",The pollen grains may have been deposited at the end of the flower(s) anthesis by multiple floral visitors ,"`356`, `500`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/ReproductiveSuccess,simple
numberOfFertilizedOvules,Number Of Fertilized Ovules,The total number of fertilized ovules in the visited flower(s),"`3`, `5`",The ovules may have been fertilized as a result of multiple floral visits,"`3`, `5`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/ReproductiveSuccess,simple
numberOfPollenTubes,Number Of Pollen Tubes,The total number of pollen tubes growing in the style(s) of the visited flower(s),"`1`, `5`",The flower(s) may have been exposed by multiple floral visitors. The number should include pollen tubes growing from all styles of the flower(s),"`1`, `5`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/ReproductiveSuccess,simple
seedMassInMiligrams,Seed Mass In Miligrams,The total mass in miligrams of the seeds of mature fruit(s),"`50`, `231.6`","If reporting this value, the `seedSet` should also be provided.","`50`, `231.6`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/ReproductiveSuccess,simple
seedSet,Seed Set,The total number of seeds of mature fruit(s),"`20`, `55`","If reporting this value, the `fruitSet` should also be provided.","`20`, `55`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/ReproductiveSuccess,simple
fruitMassInGrams,Fruit Mass In Grams,The total mass in grams of the fruit(s),"`500`, `1256.55`","If reporting this value, the `fruitSet` should also be provided.","`500`, `1256.55`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/ReproductiveSuccess,simple
fruitSet,Fruit Set,The total number of mature fruits of the exposed flower(s),"`5`, `12`","If reporting this value, the `numberOfExposedFlowers` should also be provided","`5`, `12`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/ReproductiveSuccess,simple
numberOfExposedFlowers,Number Of Exposed Flowers,The total number of flowers exposed to floral visitors,"`4`, `11`",The exposed flowers are the flowers monitored to measure the reproductive success of the plant(s). For the total number of flowers available to floral visitors (including flowers unmonitored) use `flowerAbundance`.,"`4`, `11`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/ReproductiveSuccess,simple
NectarDynamics,Nectar Dynamics,The measurements of nectar dynamics,The accumulated nectar in the monitored flowers,A nectar dynamics measurement is related to the plant occurrence(s) ,The accumulated nectar in the monitored flowers,http://www.w3.org/2000/01/rdf-schema#Class,,simple
accumlatedNectarVolumeInMicroliters,Accumlated Nectar Volume In Microliters,The total volume in microliters of nectar accumulated by the flower(s),"`5`, `10`, `5.5`","The total volume of nectar should be provided for flowers which were not exposed to floral visitors during all their longevity. If reporting this value, the `accumulatedNectarHours` should also be provided.","`5`, `10`, `5.5`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/NectarDynamics,simple
accumulatedNectarConcentration,Accumulated Nectar Concentration,"The concentration of the nectar, in percentage of sugar, accumulated by the flower(s)","`10.2`, `25`","The accumulated nectar concentration should be provided for flowers which were not exposed to floral visitors during all their longevity. If reporting this value, the `accumulatedNectarHours` should also be provided","`10.2`, `25`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/NectarDynamics,simple
accumulatedNectarHours,Accumulated Nectar Hours,The time in hours in which the nectar was let to accumulated in the flower(s),"`0.5`, `2`, `48`",,"`0.5`, `2`, `48`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/NectarDynamics,simple
accumulatedNectarFlowers,Accumulated Nectar Flowers,The total number of flowers which the accumulated nectar measurements were made,"`4`, `23`",The flowers should be prevented from visitation (not exposed to floral visitors) during all their logenvity,"`4`, `23`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/NectarDynamics,simple
