document_modified,version,versionLocalName,version_isDefinedBy,version_issued,version_status,replaces_version,replaces1_version,replaces2_version,label,definition,usage,notes,examples,type,tdwgutility_organizedInClass,tdwgutility_usageScope,term_localName
2022-01-07T11:08:01-03:00,http://rs.rebipp.org.br/ppi/terms/version/Animal-2021-12-03,Animal-2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/,2021-12-03,recommended,,,,Animal,Any attribute of a particular animal or a definied group of animals individuals,,,The caste of a bee,http://www.w3.org/2000/01/rdf-schema#Class,,simple,Animal
2022-01-07T11:08:01-03:00,http://rs.rebipp.org.br/ppi/terms/version/caste-2021-12-03,caste-2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/,2021-12-03,recommended,,,,Caste,The society division that is specialized in the function it performs and is distinguished by anatomical or morphological features from other individuals of in the society,,Recommended best pratices is to use a controlled vocabulary,"`soldier`, `queen `, `worker `",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/Animal,simple,caste
2022-01-07T11:08:01-03:00,http://rs.rebipp.org.br/ppi/terms/version/Plant-2021-12-03,Plant-2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/,2021-12-03,recommended,,,,Plant,Any attribute of a particular plant or a defined group of plants inviduals,,,,http://www.w3.org/2000/01/rdf-schema#Class,http://rs.rebipp.org.br/ppi/terms/Plant,simple,Plant
2022-01-07T11:08:01-03:00,http://rs.rebipp.org.br/ppi/terms/version/antherDehiscenceType-2021-12-03,antherDehiscenceType-2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/,2021-12-03,recommended,,,,Anther Dehiscence Type,The physical mechanism of anther dehiscence (release of the pollen grains),"`poricidal`, `longitudinal`",Recommended best practice is to use a controlled vocabulary,"`poricidal`, `longitudinal`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/Plant,simple,antherDehiscenceType
2022-01-07T11:08:01-03:00,http://rs.rebipp.org.br/ppi/terms/version/flowerAbundance-2021-12-03,flowerAbundance-2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/,2021-12-03,recommended,,,,Flower Abundance,The number of open flowers or inflorescences on the plant,"`0`, `30`, `40`",If it is an estimate then you should describe the accuracy of the measurement using http://rs.tdwg.org/dwc/terms/measurementAccuracy,"`0`, `30`, `40`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/Plant,simple,flowerAbundance
2022-01-07T11:08:01-03:00,http://rs.rebipp.org.br/ppi/terms/version/floralSymmetry-2021-12-03,floralSymmetry-2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/,2021-12-03,recommended,,,,Floral Symmetry,"The symmetry describing whether, and how, a flower, in particular its perianth, can be divided into two or more identical or mirror-image parts.","`zygomorphic`, `bilateral`",Recommended best practice is to use a controlled vocabulary such as the Phenotype and Trait Ontology,"`zygomorphic`, `bilateral`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/Plant,simple,floralSymmetry
2022-01-07T11:08:01-03:00,http://rs.rebipp.org.br/ppi/terms/version/floralSystem-2021-12-03,floralSystem-2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/,2021-12-03,recommended,,,,Floral System,"The system by which bisexual flowers optimize their reproductive success, through mechanisms that promote self- or cross-pollination","`herkogamy`, `heterostyly`, `stylar dimorphism`","It can be a morphological, temporal or movement-based mechanism.
Recommended best practice is to use a controlled vocabulary.","`herkogamy`, `heterostyly`, `stylar dimorphism`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/Plant,simple,floralSystem
2022-01-07T11:08:01-03:00,http://rs.rebipp.org.br/ppi/terms/version/plantHabit-2021-12-03,plantHabit-2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/,2021-12-03,recommended,,,,Plant Habit,"The general appearance, characteristic form, or mode of growth of the plant","`tree`, `bush`, `herb`",,"`tree`, `bush`, `herb`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/Plant,simple,plantHabit
2022-01-07T11:08:01-03:00,http://rs.rebipp.org.br/ppi/terms/version/humanUse-2021-12-03,humanUse-2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/,2021-12-03,recommended,,,,Human Use,"Ways in which species are utilized by people, including cultural use","`human food `, `animal food`, `medicine`, `ritual`","Recommended best practice is to use a controlled vocabulary. 
","`human food `, `animal food`, `medicine`, `ritual`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/Plant,simple,humanUse
2022-01-07T11:08:01-03:00,http://rs.rebipp.org.br/ppi/terms/version/matingSystem-2021-12-03,matingSystem-2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/,2021-12-03,recommended,,,,Mating System,A list (concatenated and separated) of the modes of gene transfer from one generation to the next through sexual reproduction,"`autogamous`, `xenogamous`",Recommended best practice is to separate the values in a list with space vertical bar space ( | ) and to use a controlled vocabulary.,"`autogamous`, `xenogamous`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/Plant,simple,matingSystem
